"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[developmental stage]"	"Characteristics[strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[genetic alteration]"	"Characteristics[phenotype]"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[dob]"	"Characteristics[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[model description]"	"Protocol REF"	"Parameter Value[housing]"	"Parameter Value[cage number]"	"Parameter Value[light cycle]"	"Parameter Value[feed type]"	"Parameter Value[feed manufacturer]"	"Parameter Value[diet availability]"	"Parameter Value[water supply type]"	"Parameter Value[water type]"	"Protocol REF"	"Parameter Value[compound]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[route]"	"Parameter Value[dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dose volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration of dosing]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[vehicle]"	"Protocol REF"	"Performer"	"Date"	"Parameter Value[collection time]"	"Parameter Value[euthanasia]"	"Parameter Value[processing]"	"Parameter Value[quantity taken]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[storage temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Characteristics[organism part]"	"Term Source REF"	"Term Accession Number"	"Comment[sample description]"
"D3-2-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"105"	"week"	"EFO"	"obo:UO_0000034"	"19.9"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"823368"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP11"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-5-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"51"	"week"	"EFO"	"obo:UO_0000034"	"25.8"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878252"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP12"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D8-2-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"62.5"	"week"	"EFO"	"obo:UO_0000034"	"18.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866157"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP13"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-5-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"51"	"week"	"EFO"	"obo:UO_0000034"	"22.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878252"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP14"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-2-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"69.75"	"week"	"EFO"	"obo:UO_0000034"	"28.4"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"858211"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP15"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D4-6-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"50.25"	"week"	"EFO"	"obo:UO_0000034"	"22.2"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878250"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP16"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D7-5-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"38"	"week"	"EFO"	"obo:UO_0000034"	"22"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"885502"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP17"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D8-2-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"62.5"	"week"	"EFO"	"obo:UO_0000034"	"24.5"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866157"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP18"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D3-2-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"105"	"week"	"EFO"	"obo:UO_0000034"	"20.8"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"823368"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP19"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-5-2-4"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"38"	"week"	"EFO"	"obo:UO_0000034"	"19.8"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"891816"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP20"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-2-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"80.75"	"week"	"EFO"	"obo:UO_0000034"	"25.5"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"867850"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP21"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-2-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"69.75"	"week"	"EFO"	"obo:UO_0000034"	"22.2"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"858211"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP22"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-6-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"39.25"	"week"	"EFO"	"obo:UO_0000034"	"21"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"891818"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP23"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-5-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"38"	"week"	"EFO"	"obo:UO_0000034"	"22.8"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"891816"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP24"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-5-3-5"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"38"	"week"	"EFO"	"obo:UO_0000034"	"19.1"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"891813"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP25"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D7-5-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"38"	"week"	"EFO"	"obo:UO_0000034"	"21.9"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"885502"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP26"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D4-6-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"50.25"	"week"	"EFO"	"obo:UO_0000034"	"26"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878250"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP27"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D7-6-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"28.75"	"week"	"EFO"	"obo:UO_0000034"	"19.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"898353"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP28"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-6-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"39.25"	"week"	"EFO"	"obo:UO_0000034"	"20.4"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"891818"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP29"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-4-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"51.25"	"week"	"EFO"	"obo:UO_0000034"	"18.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878254"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP30"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-3-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"25.5"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866524"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP31"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-3-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"27.2"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866524"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP32"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D7-6-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"28.75"	"week"	"EFO"	"obo:UO_0000034"	"19.1"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"898353"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP33"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D8-2-2-5"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"62.5"	"week"	"EFO"	"obo:UO_0000034"	"19.2"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866157"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"20"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP34"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-4-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"67.25"	"week"	"EFO"	"obo:UO_0000034"	"25"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"858213"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP35"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
